r,m,phi,p
6.864000000000627,1.0181208820842298,0.15202011997598347,0.00001555830577411618
6.865000000000627,1.0183636541035685,0.15205273945486023,0.00001554443097681308
6.866000000000628,1.0186063843915516,0.15208535715922908,0.000015530563576517067
6.867000000000628,1.0188490729064419,0.15211797308681335,0.000015516703572490353
6.868000000000628,1.019091719606506,0.15215058723533678,0.000015502850963993442
6.869000000000629,1.019334324450014,0.15218319960252352,0.000015489005750285116
6.870000000000629,1.0195768873952398,0.1522158101860981,0.00001547516793062245
6.871000000000629,1.0198194084004608,0.15224841898378544,0.00001546133750426081
6.87200000000063,1.0200618874239584,0.1522810259933109,0.00001544751447045384
6.87300000000063,1.0203043244240175,0.15231363121240016,0.000015433698828453492
6.87400000000063,1.0205467193589266,0.1523462346387794,0.000015419890577509995
6.875000000000631,1.020789072186978,0.1523788362701751,0.000015406089716871876
6.876000000000631,1.0210313828664672,0.15241143610431424,0.00001539229624578595
6.877000000000631,1.0212736513556944,0.1524440341389241,0.00001537851016349733
6.878000000000632,1.0215158776129627,0.15247663037173245,0.000015364731469249426
6.879000000000632,1.0217580615965791,0.15250922480046739,0.000015350960162283937
6.880000000000632,1.0220002032648547,0.15254181742285747,0.00001533719624184086
6.881000000000633,1.0222423025761038,0.1525744082366316,0.000015323439707158493
6.882000000000633,1.0224843594886448,0.15260699723951915,0.000015309690557473426
6.883000000000633,1.0227263739607995,0.15263958442924982,0.00001529594879202055
6.884000000000634,1.0229683459508938,0.1526721698035538,0.000015282214410033057
6.885000000000634,1.0232102754172574,0.1527047533601616,0.000015268487410742437
6.886000000000634,1.0234521623182236,0.15273733509680418,0.000015254767793378482
6.887000000000635,1.0236940066121292,0.1527699150112129,0.000015241055557169288
6.888000000000635,1.0239358082573153,0.1528024931011195,0.000015227350701341252
6.889000000000635,1.0241775672121267,0.1528350693642562,0.000015213653225119075
6.890000000000636,1.0244192834349117,0.15286764379835552,0.000015199963127725762
6.891000000000636,1.0246609568840226,0.15290021640115048,0.000015186280408382625
6.892000000000636,1.0249025875178155,0.15293278717037445,0.00001517260506630928
6.893000000000637,1.0251441752946504,0.15296535610376122,0.00001515893710072365
6.894000000000637,1.0253857201728909,0.152997923199045,0.00001514527651084197
6.895000000000637,1.0256272221109048,0.15303048845396042,0.00001513162329587878
6.896000000000638,1.0258686810670634,0.15306305186624247,0.000015117977455046932
6.897000000000638,1.026110096999742,0.1530956134336266,0.000015104338987557586
6.898000000000638,1.02635146986732,0.15312817315384866,0.000015090707892620217
6.899000000000639,1.02659279962818,0.1531607310246449,0.000015077084169442607
6.900000000000639,1.0268340862407093,0.15319328704375196,0.000015063467817230856
6.901000000000639,1.0270753296632984,0.15322584120890692,0.000015049858835189375
6.90200000000064,1.027316529854342,0.15325839351784729,0.000015036257222520891
6.90300000000064,1.027557686772239,0.15329094396831094,0.000015022662978426447
6.90400000000064,1.0277988003753915,0.1533234925580362,0.0000150090761021054
6.905000000000641,1.028039870622206,0.1533560392847618,0.000014995496592755428
6.906000000000641,1.0282808974710929,0.15338858414622686,0.000014981924449572525
6.907000000000641,1.0285218808804661,0.15342112714017095,0.000014968359671751005
6.908000000000642,1.0287628208087443,0.15345366826433404,0.0000149548022584835
6.909000000000642,1.0290037172143491,0.1534862075164565,0.000014941252208960966
6.910000000000642,1.029244570055707,0.15351874489427914,0.000014927709522372677
6.911000000000643,1.0294853792912475,0.15355128039554317,0.000014914174197906232
6.912000000000643,1.029726144879405,0.1535838140179902,0.000014900646234747551
6.913000000000643,1.0299668667786175,0.1536163457593623,0.000014887125632080883
6.914000000000644,1.0302075449473265,0.15364887561740195,0.000014873612389088796
6.915000000000644,1.0304481793439781,0.153681403589852,0.000014860106504952188
6.916000000000644,1.0306887699270224,0.15371392967445577,0.000014846607978850282
6.917000000000645,1.0309293166549132,0.15374645386895697,0.000014833116809960628
6.918000000000645,1.0311698194861083,0.15377897617109976,0.000014819632997459108
6.919000000000645,1.0314102783790697,0.1538114965786287,0.00001480615654051993
6.920000000000646,1.0316506932922633,0.15384401508928874,0.000014792687438315633
6.921000000000646,1.0318910641841592,0.1538765317008253,0.000014779225690017087
6.922000000000646,1.0321313910132313,0.15390904641098418,0.000014765771294793494
6.923000000000647,1.0323716737379576,0.15394155921751165,0.00001475232425181239
6.924000000000647,1.0326119123168203,0.1539740701181544,0.000014738884560239645
6.925000000000647,1.0328521067083056,0.15400657911065946,0.000014725452219239459
6.926000000000648,1.0330922568709038,0.15403908619277437,0.000014712027227974372
6.927000000000648,1.033332362763109,0.15407159136224707,0.000014698609585605259
6.928000000000648,1.0335724243434197,0.15410409461682592,0.000014685199291291332
6.929000000000649,1.0338124415703382,0.1541365959542597,0.000014671796344190142
6.930000000000649,1.0340524144023715,0.1541690953722976,0.000014658400743457577
